portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-penthouse-2-dormitorios-terraza-y-parrillero-exclusivo-parque-batlle/193540252,Venta Apartamento Penthouse 2 Dormitorios Terraza y Parrillero Exclusivo Parque Batlle,Apartamento,Parque Batlle,USD,267000,,2,1,77
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-2-dormitorios-en-piso-alto-terraza-y-vista/193936871,Apartamento 2 dormitorios en piso alto. Terraza y vista.,Apartamento,Parque Batlle,USD,198500,,2,1,69
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-en-venta-de-1-dormitorio-c-cochera-doble-en-punta-carretas/192334592,Apartamento en venta de 1 dormitorio c/ cochera doble en Punta Carretas,Apartamento,Punta Carretas,USD,225000,6060,1,1,57
InfoCasas,venta,https://www.infocasas.com.uy/venta-apto-1-dormitorio/192478406,VENTA APTO 1 DORMITORIO,Apartamento,La Blanqueada,USD,158000,3800,1,1,56
InfoCasas,venta,https://www.infocasas.com.uy/rambla-kibon-3-dormitorios-servicio-garage-dos-autos/192032804,Rambla Kibon 3 Dormitorios Servicio Garage dos autos,Apartamento,Pocitos Nuevo,USD,890000,42000,3,3,220
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-1-dormitorio-quo-parque-miramar/192056293,Venta apartamento 1 dormitorio - QUO - Parque Miramar,Apartamento,Parque Miramar,USD,210000,5500,1,1,47
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-2-dormitorios-1-baño-en-barrio-sur/190914056,Venta Apartamento 2 Dormitorios 1 Baño en Barrio Sur,Apartamento,Barrio Sur,USD,154900,5600,2,1,61
InfoCasas,venta,https://www.infocasas.com.uy/malvin-precioso-apto-1-dor-al-frente-con-garaje/190611914,"MALVIN , Precioso apto 1 dor ,al frente , con garaje",Apartamento,Malvín,USD,172000,4400,1,1,45
InfoCasas,venta,https://www.infocasas.com.uy/dueño-vende-local-galpon-hormigonado-100-oficinas-y-local-bajo-de-precio/188970577,"Dueño vende! Local Galpon hormigonado 100%, oficinas y local! Bajó de precio!",,,USD,950000,,,1,3000
InfoCasas,venta,https://www.infocasas.com.uy/casablanca-casa-en-dos-plantas-sobre-avenida/190944843,"Casablanca - Casa En Dos Plantas, Sobre Avenida",Casa,Reducto,USD,168000,,4,2,126
